titulo,precio,lanzamiento,clasificacion,multijugador,nombre,fecha_lanzamiento,exclusivo,calificacion_media
Super Mario 64 DS,34.19,2017-10-22,M (Mature),False,Action,2018-05-18,True,1.05
Lumines: Puzzle Fusion,77.01,2020-09-05,E (Everyone),True,Estrategia,2019-01-30,True,4.63
WarioWare Touched!,26.14,2014-10-06,EC (Early Childhood),False,Aventura,2015-08-13,False,4.38
Hot Shots Golf: Open Tee,45.08,2022-08-21,EC (Early Childhood),True,Action,2017-02-09,False,3.5
Spider-Man 2,85.52,2015-06-06,M (Mature),False,Aventura,2021-04-17,False,1.74
The Urbz: Sims in the City,62.2,2023-03-15,E10+ (Everyone 10 and Older),True,MOBA,2018-12-24,True,2.78
Ridge Racer,55.83,2021-08-03,T (Teen),True,Estrategia,2014-08-28,False,4.78
Metal Gear Ac!d,13.39,2020-01-07,E (Everyone),False,Estrategia,2017-02-23,True,4.24
Madden NFL 2005,57.1,2023-09-21,EC (Early Childhood),False,Aventura,2018-02-03,True,4.43
Pokmon Dash,26.59,2017-06-06,RP (Rating Pending),True,Estrategia,2023-03-29,True,4.81
Dynasty Warriors,74.34,2016-11-25,E (Everyone),True,Multiplayer,2017-05-06,True,2.6
Feel the Magic XY/XX,57.33,2015-05-21,E (Everyone),True,Multiplayer,2019-10-13,False,4.3
Ridge Racer DS,20.89,2021-07-05,M (Mature),False,MOBA,2017-08-09,False,1.61
Darkstalkers Chronicle: The Chaos Tower,15.87,2021-03-07,E10+ (Everyone 10 and Older),False,Estrategia,2021-12-15,False,3.01
Ape Escape Academy,29.13,2022-03-03,RP (Rating Pending),True,RPG,2024-01-18,False,2.68
Polarium,15.04,2014-06-13,EC (Early Childhood),False,Aventura,2022-12-02,True,1.16
Asphalt: Urban GT,49.36,2018-08-20,E (Everyone),True,Multiplayer,2022-08-24,True,1.15
Zoo Keeper,36.75,2020-11-06,AO (Adults Only),False,Estrategia,2014-09-27,False,1.95
Mr. DRILLER: Drill Spirits,49.23,2017-11-01,AO (Adults Only),True,FPS,2024-04-14,True,4.73
Sprung,91.74,2023-11-18,EC (Early Childhood),False,Multiplayer,2022-07-28,True,4.9
